1383451269002,A,22
1383451269006,A,18
1383451269007,A,18
1383451269027,A,20
1383451269028,A,19
1383451269030,A,17
1383451269033,A,17
1383451269033,A,17
1383451269037,A,18
1383451269046,A,18
1383451269233,B,20
1383451269233,B,22
1383451269237,B,22
1383451269246,B,17
1383451269249,B,21
1383451269252,B,20
1383451269256,B,22
1383451269257,B,18
1383451269277,B,19
1383451269278,B,22
1383451269456,C,18
1383451269457,C,22
1383451269477,C,20
1383451269478,C,19
1383451269480,C,19
1383451269483,C,18
1383451269483,C,20
1383451269487,C,20
1383451269496,C,17
1383451269499,C,21
1383451269907,D,14
1383451269927,D,20
1383451269928,D,19
1383451269930,D,17
1383451269933,D,18
1383451269933,D,19
1383451269937,D,19
1383451269946,D,21
1383451269949,D,22
1383451269952,D,22
1383451269956,E,22
1383451269957,E,19
1383451269977,E,24
1383451269978,E,21
1383451269980,E,20
1383451269983,E,18
1383451269983,E,19
1383451269987,E,19
1383451269996,E,17
1383451269999,E,19
1383451270133,F,23
1383451270137,F,19
1383451270146,F,20
1383451270149,F,21
1383451270152,F,23
1383451270156,F,18
1383451270157,F,23
1383451270177,F,19
1383451270178,F,21
1383451270180,F,18
1383451270237,G,22
1383451270246,G,22
1383451270249,G,21
1383451270252,G,21
1383451270256,G,21
1383451270257,G,20
1383451270277,G,17
1383451270278,G,20
1383451270280,G,17
1383451270283,G,16
